station1,station2,line,time
1,234,10,4
1,265,10,4
8,124,9,3
8,264,9,2
9,31,10,3
9,232,10,3
10,95,10,2
10,128,10,1
11,28,7,2
11,94,8,6
11,249,7,4
12,56,9,2
12,257,9,1
13,156,2,2
13,157,9,2
13,250,2,2
13,279,12,4
16,91,2,2
16,173,2,2
17,74,10,3
17,110,4,1
17,110,10,2
22,47,9,2
22,111,9,2
23,41,7,2
23,157,7,3
24,156,2,3
24,164,2,2
26,260,11,2
26,274,11,2
28,107,7,2
28,162,2,1
28,192,2,1
30,176,10,2
30,190,10,3
31,303,10,2
34,100,9,3
34,119,9,2
35,245,11,2
37,158,2,3
37,301,2,3
38,58,9,2
38,81,9,3
39,128,10,2
39,145,10,5
40,47,9,2
40,89,9,3
40,139,9,2
40,170,9,1
41,42,7,3
42,183,7,3
43,183,7,3
43,289,7,3
45,207,7,2
45,243,7,2
48,126,2,1
48,250,2,2
49,87,1,1
49,87,9,1
49,151,9,2
49,197,1,2
54,55,9,2
54,56,9,2
55,245,9,1
57,187,10,4
58,119,9,3
59,240,9,2
59,258,9,2
60,126,10,1
60,151,10,1
71,172,7,2
71,297,7,2
72,286,2,3
74,99,4,3
74,99,10,2
76,181,2,2
76,296,2,3
77,93,9,4
77,124,9,2
87,279,1,2
87,279,9,2
87,285,3,2
87,285,4,2
89,145,9,2
89,145,11,2
89,170,9,2
89,277,9,1
89,277,11,1
91,109,2,2
93,288,9,2
94,254,7,2
94,282,8,7
94,290,7,1
95,123,11,2
95,160,10,2
95,224,11,4
98,173,2,3
98,211,2,2
99,236,3,1
99,236,4,1
99,236,10,1
100,111,9,4
102,259,9,1
102,277,9,2
107,133,10,2
107,192,11,2
107,197,10,1
107,273,11,2
107,285,7,3
110,265,10,4
116,118,10,3
116,132,10,4
117,118,10,5
121,261,9,3
123,145,11,4
126,223,10,2
126,259,2,2
127,186,2,2
127,226,2,1
130,131,10,2
130,132,10,2
131,190,10,2
133,146,10,2
136,191,9,2
136,279,9,3
139,264,9,2
142,290,7,2
142,297,7,2
144,207,7,2
144,282,7,4
145,223,10,2
146,236,10,3
149,162,2,3
149,208,2,1
151,197,10,2
151,259,9,1
153,154,2,3
153,247,2,2
154,230,2,2
154,275,2,2
157,233,7,2
160,266,10,3
164,247,2,4
169,240,9,4
172,282,7,4
176,234,10,1
181,286,2,2
186,208,2,2
187,232,10,3
191,245,9,3
192,197,1,2
192,259,2,2
192,277,11,2
198,272,11,1
198,273,11,3
211,275,2,2
224,260,11,3
226,296,2,3
230,241,2,2
233,279,7,1
241,301,2,2
245,272,11,3
247,289,7,3
249,254,7,1
257,258,9,2
261,302,9,3
266,303,10,2
279,285,7,2
288,302,9,1